skill_1,skill_2,skill_3,skill_4,skill_5,skill_6,skill_7
Agile,Ansible,Architecture,Azure,CI/CD,Computer Science,Consulting
Agile,Airflow,APIs,Azure,Big Data,Business Intelligence,Computer Science
APIs,AWS,Banking,Blockchain,Crypto,Data governance,Data pipelines
Airflow,Architecture,AWS,Azure,Big Data,CI/CD,Classification
Agile,Ansible,Architecture,Azure,CI/CD,Computer Science,Consulting
Agile,Azure,Computer Science,Databricks,Data management,Engineering,Linux
Agile,Ansible,Architecture,Azure,CI/CD,Computer Science,Consulting
Agile,AWS,Consulting,Data governance,Data management,DataOps,Data Studio
Computer Science,Consulting,Consulting firm,Data Mining,Engineering,Machine Learning,Mathematics
Agile,Architecture,AWS,Azure,Big Data,Consulting,Data Analytics
Airflow,Architecture,Athena,AWS,Azure,BigQuery,Business Intelligence
Airflow,Banking,BigQuery,Blockchain,Crypto,Data analysis,Data visualization
A/B testing,Consulting,Data analysis,Data Mining,Economics,Excel,KPIs
Computer Science,Consulting,Consulting firm,Data Mining,Engineering,Machine Learning,Mathematics
Airflow,Athena,AWS,Big Data,BigQuery,E-commerce,Economics
Architecture,Engineering,Mathematics,OOP,Testing,VR,N/A
Data Warehousing,GitLab,Python,SQL,N/A,N/A,N/A
Computer Science,Computer Vision,Consulting,Deep Learning,Economics,Engineering,Finance
Big Data,Caffe,Computer Science,CX,Data analysis,Data Analytics,Data management
Data strategy,Finance,Spark,N/A,N/A,N/A,N/A
Data governance,Data management,Finance,Industrial,Oracle,Power BI,Python
Architecture,Tableau,N/A,N/A,N/A,N/A,N/A
Azure,Big Data,Business Intelligence,Data analysis,Databricks,Econometrics,Economics
Avro,AWS,Azure,Big Data,CI/CD,DevOps,GCP
Big Data,KNIME,Machine Learning,Mathematics,Physics,Power BI,Python
Architecture,Distributed Systems,Engineering,Machine Learning,ML infrastructure,ML models,Streaming
Agile,Banking,Consulting,Consulting firm,FinTech,Hadoop,Machine Learning
AWS,BigQuery,Bigtable,Computer Science,Consulting,Consulting firm,Databricks
A/B testing,Clustering,Computer Science,Machine Learning,Mathematics,Predictive modeling,Python
Architecture,AWS,Azure,Business Intelligence,Django,Flask,GCP
Agile,Ansible,APIs,Architecture,AWS,Azure,Big Data
APIs,Architecture,Azure,Computer Science,Data pipelines,Data quality,Data warehouse
Data analysis,Security,N/A,N/A,N/A,N/A,N/A
Architecture,AWS,Azure,BigQuery,CI/CD,Data pipelines,Data warehouse
Big Data,Computer Science,Deep Learning,Engineering,Keras,Python,PyTorch
APIs,Architecture,AWS,CI/CD,Data analysis,Data visualization,Data Warehousing
APIs,Consulting,CSV,Databricks,E-commerce,Engineering,ETL
Agile,Computer Science,Kafka,N/A,N/A,N/A,N/A
Computer Science,Computer Vision,Data analysis,Deep Learning,E-commerce,Engineering,Industrial
Agile,AWS,Azure,Big Data,CI/CD,Data visualization,DevOps
Agile,APIs,Architecture,Big Data,Business Analytics,Computer Science,Data governance
Airflow,BigQuery,Dagster,Engineering,Finance,FinTech,Generative modeling
Business Analytics,Computer Science,Data analysis,Data Analytics,Data visualization,Economics,Engineering
APIs,AWS,Data analysis,Data pipelines,Data quality,Engineering,FiveTran
Data Studio,Excel,Jira,Spark,N/A,N/A,N/A
Computer Science,Data analysis,Data quality,Data visualization,ETL,SQL,Statistics
Engineering,PhD,Physics,Python,SQL,N/A,N/A
AWS,Computer Science,Deep Learning,Distributed Systems,EC2,Engineering,Linux
Machine Learning,OOP,PhD,Python,Research,Testing,N/A
Agile,Computer Science,Data analysis,Data Analytics,Data governance,Data management,Data quality
Azure,Big Data,Computer Science,Deep Learning,Docker,Engineering,Git
Agile,AWS,Computer Science,Computer Vision,Data Mining,Deep Learning,Docker
Architecture,Azure,Databricks,Data quality,Data warehouse,Data Warehousing,ELT
Computer Science,Economics,Engineering,Finance,Julia,Machine Learning,Matlab
Agile,Architecture,AWS,Azure,Big Data,Blockchain,Cassandra
Agile,Architecture,Computer Science,Computer Vision,Machine Learning,Mathematics,NLP
Big Data,Consulting,Data analysis,Data Analytics,Data visualization,Jira,Kibana
Azure,Big Data,CI/CD,Computer Science,Databricks,Deep Learning,Engineering
Architecture,Big Data,Computer Science,Docker,Engineering,Hadoop,Kubernetes
Agile,AWS,Azure,Business Intelligence,Computer Science,Data analysis,Databricks
Agile,Data management,Data Mining,Data quality,Data strategy,Data visualization,Data warehouse
Business Intelligence,E-commerce,Excel,SQL,N/A,N/A,N/A
Causal inference,Clustering,Computer Science,Machine Learning,ML models,Privacy,Python
Classification,Clustering,Computer Science,Consulting,Consulting firm,Data Mining,Machine Learning
AWS,Azure,Computer Science,Consulting,Data Analytics,Data management,Engineering
Data analysis,E-commerce,Machine Learning,Python,R,Research,SQL
Architecture,Computer Science,Engineering,KPIs,Lidar,Testing,N/A
Azure,Banking,Blockchain,Consulting,Consulting firm,Engineering,Power BI
Agile,Business Intelligence,DataOps,Engineering,ETL,Jira,Research
Agile,Architecture,AWS,Big Data,Computer Science,Data pipelines,EC2
Agile,Consulting,Excel,Security,N/A,N/A,N/A
Agile,Big Data,BigQuery,Data pipelines,Data warehouse,ETL,GCP
Agile,APIs,Azure,CI/CD,Computer Science,Data management,Data quality
Angular,AWS,BigQuery,Computer Science,Data analysis,Data quality,Docker
Azure,Classification,E-commerce,Engineering,GCP,Google Cloud,Machine Learning
Agile,Airflow,Architecture,AWS,Banking,Big Data,Cassandra
Banking,Big Data,Data Analytics,ETL,Finance,Scala,Spark
Data analysis,Excel,Power BI,Python,R,R&D,N/A
Business Analytics,Genetics,SQL,Statistics,N/A,N/A,N/A
Airflow,AWS,Data management,Data quality,Excel,JavaScript,JSON
Chemistry,Testing,N/A,N/A,N/A,N/A,N/A
Athena,AWS,Big Data,Computer Science,Data analysis,Engineering,Flink
Agile,Clustering,Consulting,Databricks,Data management,Data Mining,Engineering
Airflow,Architecture,Big Data,Computer Science,Data pipelines,Data quality,Kafka
Agile,AI governance,Architecture,Big Data,Engineering,Git,Golang
Architecture,Computer Science,CUDA,Deep Learning,HPC,LLMs,Machine Learning
APIs,AWS,Azure,Consulting,Data Warehousing,Engineering,ETL
Machine Learning,NumPy,Pandas,Python,PyTorch,Research,N/A
CUDA,Git,Machine Learning,Prototyping,Python,PyTorch,Research
Computer Science,Data analysis,Engineering,Excel,Machine Learning,Mathematics,Open Source
Angular,APIs,Architecture,AWS,Azure,Cassandra,Computer Science
Agile,AWS,Azure,Big Data,CI/CD,Data visualization,DevOps
Arrow,Azure,Computer Science,Engineering,GCP,Google Cloud,Machine Learning
Testing,N/A,N/A,N/A,N/A,N/A,N/A
Agile,Consulting,Consulting firm,Data management,ETL,Machine Learning,PySpark
Agile,Data management,Data quality,Oracle,Research,N/A,N/A
Azure,Big Data,Databricks,Data warehouse,DevOps,Engineering,ETL
Airflow,APIs,Architecture,AWS,Data analysis,Data pipelines,Distributed Systems
Agile,Excel,Finance,N/A,N/A,N/A,N/A
Architecture,AWS,Big Data,CI/CD,Data analysis,EC2,ELT
Computer Science,Data Mining,Economics,ETL,Excel,JavaScript,Mathematics
AWS,Computer Science,Crypto,Databricks,Data Mining,Economics,Excel
Big Data,Data pipelines,Engineering,Julia,Machine Learning,Pipelines,Python
Computer Science,Data analysis,Databricks,Data visualization,E-commerce,Economics,Engineering
A/B testing,Agile,Business Intelligence,Consulting,CX,Data Analytics,Engineering
BigQuery,Dataflow,Data pipelines,Data quality,Data warehouse,Engineering,FiveTran
Architecture,AWS,Azure,Big Data,CI/CD,CX,Databricks
BigQuery,Data Analytics,Data pipelines,Data quality,Engineering,Machine Learning,MLOps
Excel,FinTech,SQL,N/A,N/A,N/A,N/A
Agile,Airflow,AWS,Data analysis,Deep Learning,Engineering,GCP
Banking,Blockchain,Crypto,Data pipelines,Engineering,Machine Learning,Pipelines
Agile,Architecture,Azure,Big Data,Blockchain,Business Intelligence,Data warehouse
Engineering,Nonprofit,N/A,N/A,N/A,N/A,N/A
Airflow,Banking,BigQuery,Data Analytics,Engineering,Finance,Looker
APIs,Architecture,Big Data,Business Intelligence,Classification,Data Analytics,Data quality
Agile,Airflow,Big Data,BigQuery,CI/CD,Computer Science,Data pipelines
AWS,Azure,Classification,Computer Science,Deep Learning,Distributed Systems,Engineering
Amplitude,Business Intelligence,Computer Science,Consulting,Data analysis,Data governance,Data visualization
Architecture,Deep Learning,Engineering,Industrial,OpenCV,Python,N/A
APIs,Bitbucket,Data Analytics,Data pipelines,Data warehouse,ELT,ETL
Airflow,Computer Science,Data analysis,Data pipelines,Data visualization,Engineering,Git
Banking,Economics,Finance,Power BI,Statistics,N/A,N/A
AWS,Banking,Computer Science,Data analysis,Data visualization,E-commerce,Economics
Deep Learning,Engineering,Machine Learning,ML models,MLOps,NLP,Nonprofit
Banking,Big Data,Blockchain,Data analysis,ETL,Excel,RDBMS
APIs,Azure,Computer Science,Data management,Data pipelines,Data quality,Data strategy
Airflow,Big Data,Data Studio,GCP,Hadoop,Looker,Spark
Agile,Excel,Finance,N/A,N/A,N/A,N/A
Architecture,AWS,CI/CD,CX,Deep Learning,Engineering,Hadoop
Finance,Security,N/A,N/A,N/A,N/A,N/A
Agile,APIs,Athena,AWS,Business Intelligence,Computer Science,Consulting
DataOps,Data quality,Excel,Jira,SQL,N/A,N/A
Computer Science,Deep Learning,E-commerce,Engineering,Machine Learning,Mathematics,ML models
Machine Learning,Research,N/A,N/A,N/A,N/A,N/A
Consulting,Data Analytics,Excel,Power BI,Privacy,Python,Qlik
Architecture,Deep Learning,Engineering,Industrial,OpenCV,Python,N/A
APIs,Consulting,Data Analytics,Excel,Looker,OKR,Python
A/B testing,Angular,APIs,Computer Science,Engineering,JavaScript,Node.js
Agile,Architecture,Big Data,Engineering,Machine Learning,Microservices,N/A
Big Data,Consulting,Julia,Linux,Machine Learning,Matlab,Perl
AWS,Azure,Excel,GCP,Kafka,Linux,MPP
APIs,Architecture,AWS,Azure,Big Data,CI/CD,Consulting
Agile,Data analysis,Data management,Data quality,Excel,N/A,N/A
Agile,Architecture,Azure,Big Data,BigQuery,Business Intelligence,Computer Science
Architecture,AWS,Azure,Cassandra,D3,Data Analytics,Data management
BigQuery,Data Analytics,Data pipelines,Data visualization,Economics,Engineering,Finance
Computer Science,Data visualization,Elasticsearch,Engineering,Git,Linux,Machine Learning
AWS,Azure,Computer Science,Docker,GCP,Google Cloud,Kubernetes
E-commerce,Research,Testing,N/A,N/A,N/A,N/A
Data Mining,Data visualization,Engineering,Excel,Fortran,Machine Learning,Matlab
A/B testing,Banking,Business Intelligence,Engineering,Finance,FinTech,Looker
Data visualization,KPIs,SQL,Statistics,Tableau,N/A,N/A
Agile,Architecture,AWS,Azure,Consulting,DevOps,Pipelines
Big Data,Machine Learning,Teaching,N/A,N/A,N/A,N/A
Agile,Autonomous Driving,AWS,Azure,Computer Science,Computer Vision,CUDA
Architecture,Azure,Business Intelligence,Databricks,Engineering,Power BI,SQL
Airflow,Architecture,Banking,BigQuery,Blockchain,Business Intelligence,Computer Science
Biochemistry,Biology,Chemistry,Engineering,Research,Testing,N/A
Architecture,AWS,Banking,Big Data,Blockchain,Computer Science,Credit risk
Banking,Credit risk,Data pipelines,FinTech,Machine Learning,ML models,Pipelines
Excel,Finance,Looker,Machine Learning,Power BI,Python,SQL
Big Data,Consulting,Julia,Linux,Machine Learning,Matlab,Perl
AWS,Azure,Big Data,Business Intelligence,ELT,ETL,GCP
Architecture,BERT,Computer Science,Engineering,LLMs,Mathematics,NLG
Agile,Ansible,Architecture,Azure,CI/CD,Computer Science,Consulting
Business Intelligence,Data analysis,Data Analytics,Data Mining,Data visualization,Finance,KPIs
Agile,Consulting,Consulting firm,Data Analytics,Distributed Systems,FinTech,Hadoop
D3,Data Mining,Matplotlib,Power BI,Python,R,SQL
Airflow,Big Data,BigQuery,Chemistry,Clustering,Computer Science,Data Analytics
Architecture,AWS,BigQuery,Computer Science,Data Mining,Data quality,KNIME
AWS,Python,SQL,N/A,N/A,N/A,N/A
Computer Science,Computer Vision,Deep Learning,GPU,Machine Learning,PhD,Python
Classification,Data analysis,Data quality,Elasticsearch,Kibana,Linux,LLMs
Consulting,Data analysis,Economics,Engineering,Excel,Market research,Python
Airflow,APIs,Architecture,AWS,Computer Science,Data pipelines,Docker
Athena,Business Intelligence,Data Analytics,Data management,Excel,Power BI,Qlik
Computer Science,D3,Data analysis,Data Mining,Data quality,Data visualization,Engineering
Databricks,Data quality,Engineering,Machine Learning,Microservices,Pipelines,Spark
Agile,ANN,Banking,Big Data,Classification,Clustering,Computer Science
Agile,Consulting,Consulting firm,Data Analytics,Distributed Systems,FinTech,Hadoop
Big Data,Data Studio,Excel,Jira,KPIs,Power BI,Tableau
Agile,Data management,Excel,Finance,N/A,N/A,N/A
AWS,Data analysis,Data visualization,Engineering,Machine intelligence,Machine Learning,Python
Machine Learning,Research,N/A,N/A,N/A,N/A,N/A
A/B testing,Agile,Angular,APIs,CX,Engineering,JavaScript
Agile,Azure,Big Data,Blockchain,Business Intelligence,Computer Science,Consulting
Architecture,Data Analytics,Data management,Data strategy,Finance,Machine Learning,N/A
Agile,Airflow,Athena,AWS,Computer Science,Data Analytics,Data Mining
Computer Science,Computer Vision,Deep Learning,Generative modeling,GitHub,GPU,Keras
KPIs,Python,R,Research,SQL,N/A,N/A
AWS,Azure,Big Data,Data pipelines,Data Warehousing,GCP,HiveQL
Excel,N/A,N/A,N/A,N/A,N/A,N/A
Architecture,Classification,Computer Vision,Deep Learning,Docker,Model training,PyTorch
Angular,CX,E-commerce,Engineering,ES6,Genetics,JavaScript
A/B testing,Agile,Architecture,AWS,CI/CD,Classification,DevOps
Data Warehousing,Engineering,Power BI,SQL,N/A,N/A,N/A
Distributed Systems,Docker,Engineering,Kubernetes,Machine Learning,ML models,NLP
Business Intelligence,Computer Science,Data analysis,Data Analytics,Data Mining,Data visualization,Economics
CX,Data Analytics,E-commerce,Engineering,Machine Learning,Python,R
Data analysis,Excel,Market research,Privacy,Research,N/A,N/A
Agile,APIs,Computer Vision,Data pipelines,Deep Learning,Docker,Engineering
Agile,Architecture,Big Data,Computer Science,Engineering,Hadoop,Kafka
Data visualization,Excel,JavaScript,Oracle,PhD,Power BI,Privacy
Architecture,Computer Science,Engineering,Machine Learning,Mathematics,ML infrastructure,Model training
Architecture,Biology,Computer Science,Engineering,Git,Machine Learning,Mathematics
Engineering,Python,Research,Security,N/A,N/A,N/A
Computer Science,Consulting,Data management,Data strategy,Engineering,Machine Learning,PhD
Agile,Big Data,BigQuery,Clustering,Computer Science,CX,Data analysis
Computer Science,ETL,Machine Learning,Mathematics,NLP,OOP,Pipelines
Business Analytics,Computer Science,Machine Learning,Mathematics,NLP,Python,Research
Big Data,Machine Learning,Teaching,N/A,N/A,N/A,N/A
Agile,Architecture,Azure,Big Data,Business Analytics,Cassandra,CI/CD
Agile,Data analysis,Data management,Data quality,Excel,N/A,N/A
Agile,Airflow,AWS,Azure,CI/CD,Computer Science,Databricks
Architecture,Autonomous Driving,Computer Science,Data Mining,Distributed Systems,Machine Learning,Mathematics
Architecture,Data Mining,Drones,Engineering,Machine Learning,Python,R
Big Data,Engineering,Machine Learning,Testing,VR,N/A,N/A
Architecture,Athena,AWS,Computer Science,Data management,Kinesis,Pipelines
A/B testing,Business Intelligence,Computer Science,Consulting,Data analysis,Data Analytics,Data Mining
AI strategy,Biology,Computer Science,Consulting,Data Mining,Deep Learning,Engineering
Banking,Data analysis,Engineering,Open Source,Privacy,Python,R
Big Data,Data visualization,Engineering,ETL,GCP,JavaScript,Oracle
A/B testing,Big Data,Data Analytics,E-commerce,Finance,KPIs,Looker
Causal inference,Computer Science,Data analysis,EDA,Machine Learning,Mathematics,Matlab
Big Data,Clustering,Computer Science,Consulting,Data Analytics,Data Mining,Economics
Data visualization,Docker,Kubernetes,Linux,Open Source,PhD,N/A
Computer Science,Data analysis,Data Analytics,DataOps,Data visualization,Engineering,Excel
BigQuery,Data Analytics,Data pipelines,Pipelines,Python,Redshift,Snowflake
Airflow,Architecture,Athena,AWS,Banking,BigQuery,Business Intelligence
Big Data,Bitbucket,DevOps,Engineering,GitHub,Industrial,JavaScript
Agile,Computer Science,Jira,Kanban,Keras,Machine Learning,Mathematics
CX,Data management,Data visualization,E-commerce,Economics,Engineering,KPIs
Data management,Data quality,R,R&D,Testing,N/A,N/A
Business Intelligence,Data analysis,Data Analytics,Data Mining,Data visualization,Data warehouse,Excel
3D Reconstruction,Autonomous Driving,Big Data,Circuit Design,Computer Science,Computer Vision,Conversational AI
Agile,Banking,Big Data,DataOps,FinTech,Hadoop,HBase
APIs,AWS,Flask,GCP,Google Cloud,Pandas,Plotly
Airflow,APIs,Architecture,Business Analytics,Computer Science,Data analysis,Data Analytics
Agile,AWS,Big Data,Computer Science,Data Warehousing,Engineering,ETL
Computer Science,Engineering,Excel,Industrial,KNIME,Machine Learning,Power BI
Big Data,Computer Science,Data governance,Data management,Data quality,Mathematics,Privacy
Airflow,APIs,Architecture,AWS,Computer Science,Data pipelines,Docker
Agile,Airflow,Business Intelligence,Databricks,Data strategy,Data warehouse,Economics
Architecture,AWS,BigQuery,Computer Science,Data Mining,Data quality,KNIME
3D Reconstruction,Computer Science,Computer Vision,CUDA,Deep Learning,Docker,Engineering
Computer Science,Data analysis,Data Analytics,Kibana,Mathematics,NoSQL,Privacy
Big Data,Data Analytics,Data management,DataOps,Data quality,Machine Learning,N/A
Architecture,AWS,Big Data,BigQuery,Computer Science,Data Mining,Data pipelines
Agile,Ansible,AWS,Big Data,DevOps,Docker,Drones
Architecture,BigQuery,Business Intelligence,Computer Science,Data analysis,Data Analytics,Data quality
AWS,Azure,Consulting,Data management,Deep Learning,DevOps,Engineering
Arrow,Azure,Computer Science,Data Mining,Engineering,GCP,Google Cloud
Business Intelligence,Data quality,Machine Learning,Pipelines,Python,R,Research
Computer Science,Data analysis,EDA,Machine Learning,Mathematics,Matlab,Python
Agile,APIs,Architecture,Azure,Big Data,Business Intelligence,Data warehouse
Big Data,Data quality,ETL,Machine Learning,N/A,N/A,N/A
Athena,AWS,Azure,Big Data,BigQuery,Business Intelligence,Databricks
Agile,Ansible,Architecture,Azure,Big Data,CI/CD,Computer Science
Computer Science,Data visualization,Engineering,FinTech,Machine Learning,OKR,Statistics
Agile,Business Intelligence,Data analysis,ELT,Finance,Looker,SQL
AWS,Azure,Engineering,GCP,Google Cloud,Machine Learning,MLOps
Bayesian,Data analysis,Engineering,GitLab,Jira,Mathematics,OOP
Credit risk,Data quality,Data strategy,Economics,Engineering,Python,R
Airflow,APIs,Architecture,AWS,Big Data,Computer Science,Computer Vision
Architecture,Data visualization,ETL,RDBMS,SAS,SQL,Teradata
Agile,Consulting,Data warehouse,Engineering,Grafana,Kafka,Kubernetes
Architecture,Big Data,Databricks,Engineering,Excel,Finance,Machine Learning
Amplitude,Data analysis,Databricks,Data governance,Data warehouse,Engineering,Looker
CX,Engineering,Excel,Finance,Industrial,KPIs,Spark
Engineering,Machine Learning,Python,R,Research,SQL,Statistics
Engineering,Linear algebra,Machine Learning,Microservices,Privacy,Python,PyTorch
Agile,Architecture,Big Data,Data governance,Data management,Data strategy,Data visualization
Agile,APIs,AWS,Banking,Clustering,Computer Science,CX
Agile,AWS,Azure,Computer Science,Data visualization,Deep Learning,Engineering
Airflow,Athena,AWS,Azure,Computer Science,Data analysis,Data pipelines
Computer Science,Data Mining,Distributed Systems,Engineering,Machine Learning,Mathematics,Privacy
Architecture,AWS,Big Data,Data Analytics,Data management,Elasticsearch,Git
AWS,Biology,Chemistry,Computer Science,Data pipelines,Deep Learning,Diffusion models
APIs,Architecture,BigQuery,Dataflow,Data governance,Data pipelines,Data quality
Agile,Computer Science,Deep Learning,Engineering,Feature engineering,Machine Learning,Mathematics
Architecture,Data analysis,Data Analytics,Data quality,Data visualization,E-commerce,Economics
Airflow,AWS,Data pipelines,Engineering,Kafka,Kubernetes,Open Source
Agile,Azure,Business Intelligence,Classification,Deep Learning,Engineering,GCP
Agile,Ansible,Architecture,Azure,CI/CD,Computer Science,Consulting
Architecture,Biology,Chemistry,Computer Science,Deep Learning,Drug discovery,Generative modeling
Azure,Computer Science,Docker,Engineering,Grafana,Linux,Logstash
Agile,AWS,Azure,Data quality,DevOps,Excel,Git
3D Reconstruction,Autonomous Driving,Big Data,Circuit Design,Computer Science,Computer Vision,Conversational AI
Architecture,AWS,Azure,Big Data,Data Analytics,Data management,Elasticsearch
Business Intelligence,Data warehouse,Excel,Git,Jira,Power BI,Python
AWS,Banking,Deep Learning,Docker,Engineering,GPU,HuggingFace
Computer Science,E-commerce,Engineering,Finance,Privacy,N/A,N/A
Computer Science,Data Analytics,Data visualization,Engineering,Excel,SQL,N/A
Agile,Big Data,Business Intelligence,Data Mining,Data visualization,Engineering,Git
Biology,Computer Science,CX,Git,JavaScript,Jira,Linux
AWS,Big Data,Business Intelligence,Computer Science,Data Analytics,Data pipelines,Data Warehousing
Data analysis,Security,N/A,N/A,N/A,N/A,N/A
Agile,Airflow,Architecture,Athena,AWS,Azkaban,Azure
Architecture,Azure,Computer Science,Consulting,Databricks,Data pipelines,ITIL
Excel,Pandas,Power BI,Python,Research,Spark,SQL
Agile,Airflow,Amplitude,Business Intelligence,Computer Science,Databricks,DataOps
Computer Vision,Deep Learning,GANs,ICML,Machine Learning,NeurIPS,Python
Airflow,AWS,BigQuery,Cassandra,Classification,Computer Vision,Deep Learning
Agile,APIs,Architecture,Azure,Big Data,Cassandra,Consulting
Agile,CX,Data analysis,Excel,Jira,Nonprofit,N/A
Airflow,AWS,Azure,BigQuery,CI/CD,DataOps,Data pipelines
Banking,Business Intelligence,Computer Science,Consulting,Data analysis,Data Analytics,Data Mining
APIs,Data analysis,DataOps,Excel,Finance,SQL,Tableau
Open Source,Python,R,SQL,N/A,N/A,N/A
Computer Science,Data analysis,Data pipelines,EDA,Engineering,Finance,GCP
AWS,Azure,Deep Learning,DevOps,Engineering,GitHub,Machine Learning
Architecture,Big Data,BigQuery,Business Intelligence,Data Analytics,Data governance,Data pipelines
Classification,Computer Science,Data visualization,Deep Learning,Finance,Linear algebra,Machine Learning
APIs,Big Data,Blockchain,Docker,GitHub,GitLab,Hadoop
A/B testing,Business Intelligence,Computer Science,Consulting,Data analysis,Data Analytics,Data Mining
Computer Science,Data quality,Engineering,Mathematics,Python,SAS,SQL
Computer Science,Data analysis,Engineering,Finance,SQL,Streaming,N/A
Airflow,Data Analytics,Data pipelines,Docker,EC2,Engineering,ETL
AWS,Data analysis,Data pipelines,E-commerce,EDA,Engineering,Hadoop
Azure,Big Data,CI/CD,Computer Science,Databricks,DevOps,Engineering
Excel,SQL,Statistics,N/A,N/A,N/A,N/A
A/B testing,Data Analytics,Pipelines,Power BI,Python,SQL,Tableau
Architecture,Azure,Banking,Big Data,Cluster analysis,Clustering,Databricks
Architecture,Business Intelligence,Computer Science,Computer Vision,CX,Data analysis,Data visualization
Chemistry,Data management,Finance,Spark,N/A,N/A,N/A
Agile,APIs,Architecture,Athena,AWS,Computer Science,Data analysis
Agile,Computer Science,CX,Economics,Engineering,Genetics,Mathematics
Engineering,LLMs,Machine Learning,ML models,NLP,Research,N/A
Blockchain,Business Intelligence,Computer Science,Data analysis,Data visualization,Data Warehousing,Engineering
Computer Science,CX,Data visualization,Engineering,Python,SQL,Statistics
A/B testing,Business Intelligence,Content creation,Data visualization,Excel,Looker,SQL
Computer Science,Computer Vision,Engineering,Machine Learning,Mathematics,PhD,Python
Consulting,Consulting firm,Data analysis,Excel,Power BI,Privacy,Travel
Deep Learning,Engineering,Feature engineering,Hadoop,Machine Learning,ML models,PhD
Business Intelligence,Computer Science,Data analysis,Data Analytics,Data Mining,Data visualization,Economics
Causal inference,Computer Science,Economics,Engineering,Machine Learning,Python,R
Airflow,Architecture,Azure,Data Analytics,Databricks,Data Mining,Data pipelines
Engineering,GitHub,Machine Learning,MLFlow,Python,Teaching,N/A
Agile,Consulting,Data analysis,Data management,Data Mining,Data quality,Data Warehousing
AWS,Blockchain,Dagster,Engineering,FiveTran,GitHub,Jira
Airflow,APIs,Architecture,Athena,AWS,DevOps,Engineering
Business Intelligence,Data management,Data quality,Power BI,R,R&D,Statistics
Looker,Research,N/A,N/A,N/A,N/A,N/A
Airflow,Architecture,Big Data,Business Intelligence,Computer Science,DevOps,Engineering
Airflow,Big Data,BigQuery,Chemistry,Clustering,Computer Science,Data Analytics
Airflow,AWS,Azure,Big Data,BigQuery,Computer Science,Consulting
CX,Engineering,Machine Learning,Mathematics,Python,SQL,Statistics
Agile,APIs,Azure,CI/CD,Computer Science,Databricks,Engineering
Classification,Clustering,Computer Science,D3,Deep Learning,Engineering,Keras
Amplitude,BigQuery,Data visualization,Docker,FinTech,Kubernetes,Machine Learning
Classification,Computer Science,Excel,Mathematics,SQL,Tableau,Testing
Data visualization,Engineering,N/A,N/A,N/A,N/A,N/A
Agile,Airflow,Athena,AWS,Data pipelines,Data quality,DynamoDB
Agile,APIs,Architecture,Azure,Big Data,Cassandra,Consulting
APIs,Data analysis,Excel,Finance,SQL,N/A,N/A
Content creation,Market research,Python,R,Research,SQL,N/A
Consulting,Power BI,Privacy,Statistics,N/A,N/A,N/A
Azure,Data Analytics,Power BI,N/A,N/A,N/A,N/A
CI/CD,Classification,Deep Learning,Docker,Engineering,Feature engineering,Git
AWS,Azure,Keras,Machine Learning,NLP,PyTorch,Research
Agile,AWS,Computer Science,Engineering,ETL,Git,Linux
Excel,Finance,Research,SharePoint,N/A,N/A,N/A
AWS,Computer Science,Data Analytics,Data quality,Data warehouse,EC2,ETL
Architecture,AWS,Big Data,Computer Science,Data analysis,GCP,Machine Learning
Machine Learning,Prototyping,Python,Research,Security,N/A,N/A
Business Intelligence,Data analysis,Data Analytics,Data quality,Engineering,Excel,Finance
Computer Science,Data visualization,Engineering,FinTech,Machine Learning,OKR,Statistics
Agile,APIs,Architecture,Azure,Big Data,Cassandra,Consulting
Banking,Blockchain,Business Analytics,Crypto,Data Analytics,Engineering,Looker
Agile,Airflow,AWS,Azure,CI/CD,Computer Science,DevOps
APIs,Data analysis,Excel,Finance,SQL,N/A,N/A
APIs,Banking,Blockchain,Business Intelligence,Data Analytics,Data pipelines,Economics
AWS,Big Data,Cassandra,Engineering,ETL,Hadoop,HBase
Airflow,Computer Science,Databricks,Data pipelines,Data warehouse,DevOps,Docker
AWS,Azure,Computer Science,Consulting,Data visualization,Deep Learning,GCP
AWS,Consulting,Data Warehousing,Engineering,ETL,MS SQL,Oracle
Agile,AWS,CI/CD,Databricks,Data management,Data pipelines,DevOps
AWS,Computer Science,Consulting,Economics,Engineering,Excel,Feature engineering
APIs,Athena,AWS,Blockchain,Crypto,Data pipelines,Engineering
Agile,Architecture,Big Data,CX,Data quality,Engineering,ETL
Big Data,Computer Science,Databricks,Data Mining,Data pipelines,Data strategy,Data visualization
APIs,Data Analytics,Data pipelines,Engineering,Looker,Machine Learning,Pipelines
Agile,Architecture,AWS,Business Intelligence,Data analysis,Data visualization,Data warehouse
Agile,Architecture,AWS,Azure,Banking,Big Data,BigQuery
Agile,BigQuery,Data analysis,Data Analytics,Data visualization,Data warehouse,GitHub
A/B testing,Agile,Causal inference,KPIs,Python,R,SQL
Data Analytics,Data quality,Data Studio,KPIs,Power BI,QlikView,SQL
Airflow,Avro,AWS,Azkaban,CI/CD,CX,DevOps
Airflow,APIs,AWS,Banking,Distributed Systems,Engineering,Flink
Causal inference,Data pipelines,Economics,Engineering,Machine Learning,Mathematics,ML models
Agile,API Development,APIs,Dataflow,Data pipelines,Data quality,GCP
Airflow,AWS,Azure,CI/CD,Computer Science,DevOps,Docker
ANN,Computer Science,Computer Vision,Data quality,Deep Learning,Engineering,Keras
